"DateTime","Final price","Historical Low"
"2020-12-09 16:10:04",29.99,29.99
"2021-06-03 17:06:00",23.99,23.99
"2021-06-07 17:09:40",29.99,23.99
"2021-06-18 17:10:16",23.99,23.99
"2021-07-08 17:16:33",29.99,23.99
"2021-09-29 15:07:12",20.09,20.09
"2021-09-29 15:11:49",26.79,20.09
"2021-09-30 06:12:55",20.09,20.09
"2021-10-04 17:10:28",29.99,20.09
"2021-10-28 17:38:52",20.09,20.09
"2021-11-01 17:28:04",29.99,20.09
"2021-11-24 18:09:10",20.09,20.09
"2021-12-01 18:20:42",29.99,20.09
"2021-12-22 18:04:04",20.09,20.09
"2022-01-05 18:21:40",29.99,20.09
"2022-01-27 18:23:24",20.09,20.09
"2022-02-03 18:23:25",29.99,20.09
"2022-04-18 17:02:25",14.99,14.99
"2022-04-25 17:02:14",29.99,14.99
"2022-06-23 17:25:03",14.99,14.99
"2022-06-23 17:27:34",14.99,14.99
"2022-07-07 17:23:40",29.99,14.99
"2022-10-03 17:22:29",15.99,14.99
"2022-10-10 17:22:25",9.89,9.89
"2022-10-17 17:22:29",29.99,9.89
"2022-11-17 18:02:08",9.89,9.89
"2022-11-29 18:27:48",29.99,9.89
"2022-12-20 18:02:05",9.89,9.89
"2023-01-05 18:29:06",29.99,9.89
"2023-03-16 17:23:15",9.89,9.89
"2023-03-23 17:23:24",29.99,9.89
"2023-04-28 17:02:24",15.99,9.89
"2023-05-08 17:22:28",29.99,9.89
"2023-05-29 17:22:26",23.89,9.89
"2023-06-05 17:22:26",9.89,9.89
"2023-06-12 17:22:22",29.99,9.89
"2023-06-29 17:29:30",9.89,9.89
"2023-07-13 17:23:34",29.99,9.89
"2023-07-24 17:22:32",9.89,9.89
"2023-07-31 17:22:29",29.99,9.89
"2023-08-07 17:22:28",15.99,9.89
"2023-08-14 17:22:21",29.99,9.89
"2023-09-11 17:22:26",9.89,9.89
"2023-09-18 17:22:28",29.99,9.89
"2023-10-05 17:02:18",13.99,9.89
"2023-10-19 17:02:15",29.99,9.89
"2023-10-26 17:22:10",9.89,9.89
"2023-11-02 17:27:18",29.99,9.89
"2023-11-21 18:11:46",9.89,9.89
"2023-11-28 18:28:55",29.99,9.89
"2023-12-11 18:22:38",9.89,9.89
"2023-12-15 18:01:47",29.99,9.89
"2023-12-21 18:09:47",9.89,9.89
"2024-01-04 18:38:03",29.99,9.89
"2024-02-08 18:01:58",9.89,9.89
"2024-02-22 18:02:22",29.99,9.89
"2024-03-07 17:05:03",13.99,9.89
"2024-03-14 17:51:54",9.89,9.89
"2024-03-21 17:29:13",29.99,9.89
"2024-04-25 17:02:37",9.89,9.89
"2024-05-06 17:22:35",29.99,9.89
"2024-06-10 17:22:22",9.89,9.89
"2024-06-17 17:22:23",29.99,9.89
"2024-06-27 17:52:11",9.89,9.89
"2024-07-11 17:28:56",29.99,9.89
"2024-09-16 17:24:06",9.89,9.89
"2024-09-23 17:22:27",29.99,9.89
"2024-10-28 17:22:32",9.89,9.89
"2024-11-04 18:22:26",29.99,9.89
"2024-11-27 18:24:10",9.89,9.89
"2024-12-04 18:29:05",29.99,9.89
"2024-12-12 18:02:06",9.89,9.89
"2025-01-02 19:01:28",29.99,9.89
"2025-01-29 08:50:03",9.89,9.89
"2025-02-03 18:21:24",29.99,9.89
"2025-03-06 18:01:26",9.89,9.89
"2025-03-20 18:01:14",29.99,9.89
"2025-04-12 22:11:44",29.99,9.89
"2025-04-12 22:11:44",,9.89
