"DateTime","Final price","Historical Low"
"2020-10-20 16:55:06",15.99,15.99
"2020-11-02 18:01:32",19.99,15.99
"2020-12-14 18:29:56",14.99,14.99
"2021-01-05 18:36:56",19.99,14.99
"2021-01-29 18:05:20",14.99,14.99
"2021-01-31 18:05:10",19.99,14.99
"2021-02-08 18:06:19",14.99,14.99
"2021-02-15 19:30:54",19.99,14.99
"2021-03-25 17:25:19",13.99,13.99
"2021-04-08 17:15:11",19.99,13.99
"2021-06-24 19:15:23",13.99,13.99
"2021-07-08 17:56:15",19.99,13.99
"2021-07-26 17:07:26",13.99,13.99
"2021-08-09 17:24:38",19.99,13.99
"2021-09-25 17:05:21",11.99,11.99
"2021-09-27 17:04:36",19.99,11.99
"2021-11-24 18:02:16",11.99,11.99
"2021-12-01 18:20:33",19.99,11.99
"2021-12-22 18:07:49",10.99,10.99
"2021-12-22 18:13:43",10.99,10.99
"2022-01-05 18:20:55",19.99,10.99
"2022-01-27 18:22:14",10.99,10.99
"2022-02-03 18:22:13",19.99,10.99
"2022-02-21 18:21:48",10.99,10.99
"2022-03-08 07:01:40",19.99,10.99
"2022-04-04 17:21:54",10.99,10.99
"2022-04-14 17:01:40",19.99,10.99
"2022-05-19 17:01:46",10.99,10.99
"2022-05-24 17:01:38",19.99,10.99
"2022-06-23 17:25:12",10.99,10.99
"2022-06-23 17:34:13",10.99,10.99
"2022-07-14 17:01:41",19.99,10.99
"2022-08-29 17:21:50",9.99,9.99
"2022-09-01 17:01:44",19.99,9.99
"2022-10-18 18:05:04",9.99,9.99
"2022-11-01 17:21:50",19.99,9.99
"2022-11-22 18:15:04",9.99,9.99
"2022-11-29 18:22:17",19.99,9.99
"2022-12-05 18:21:50",9.99,9.99
"2022-12-12 18:21:53",19.99,9.99
"2022-12-22 18:09:17",9.99,9.99
"2023-01-05 18:22:25",19.99,9.99
"2023-01-16 18:21:47",9.99,9.99
"2023-01-23 18:21:50",19.99,9.99
"2023-02-20 18:21:45",9.99,9.99
"2023-02-27 18:21:44",19.99,9.99
"2023-03-16 17:31:42",9.99,9.99
"2023-03-23 17:22:16",19.99,9.99
"2023-04-24 17:21:52",9.99,9.99
"2023-05-01 17:21:50",19.99,9.99
"2023-06-05 17:21:48",9.99,9.99
"2023-06-12 17:21:44",19.99,9.99
"2023-06-29 17:32:17",9.99,9.99
"2023-07-13 17:22:18",19.99,9.99
"2023-07-17 17:21:45",9.99,9.99
"2023-07-24 17:21:49",19.99,9.99
"2023-08-28 17:21:52",9.99,9.99
"2023-09-04 17:21:51",19.99,9.99
"2023-10-20 17:01:32",7.99,7.99
"2023-11-02 17:26:44",19.99,7.99
"2023-11-21 18:09:54",7.99,7.99
"2023-11-28 18:27:29",19.99,7.99
"2023-12-04 18:21:48",7.99,7.99
"2023-12-11 18:21:50",19.99,7.99
"2023-12-21 18:27:17",7.99,7.99
"2024-01-04 18:27:53",19.99,7.99
"2024-01-15 18:21:42",7.99,7.99
"2024-01-22 18:22:00",19.99,7.99
"2024-02-26 18:21:42",7.99,7.99
"2024-03-04 18:21:45",19.99,7.99
"2024-03-14 17:40:32",7.99,7.99
"2024-03-21 17:27:42",19.99,7.99
"2024-05-08 17:01:37",7.99,7.99
"2024-05-16 17:01:42",19.99,7.99
"2024-06-27 17:50:45",6.99,6.99
"2024-07-11 17:27:30",19.99,6.99
"2024-07-15 17:21:52",6.99,6.99
"2024-07-22 17:21:54",19.99,6.99
"2024-08-26 17:21:51",6.99,6.99
"2024-09-02 17:21:55",19.99,6.99
"2024-10-07 17:22:00",6.99,6.99
"2024-10-14 17:21:50",19.99,6.99
"2024-11-18 18:21:47",6.99,6.99
"2024-11-25 18:21:43",19.99,6.99
"2024-11-27 18:21:56",6.99,6.99
"2024-12-04 18:27:37",19.99,6.99
"2024-12-19 20:41:11",4.99,4.99
"2025-01-02 19:01:47",19.99,4.99
"2025-01-06 18:21:29",4.99,4.99
"2025-01-13 18:21:25",19.99,4.99
"2025-02-17 18:21:35",4.99,4.99
"2025-02-24 18:21:23",19.99,4.99
"2025-03-13 17:17:50",4.99,4.99
"2025-03-20 18:01:48",19.99,4.99
"2025-04-21 17:21:35",4.99,4.99
"2025-04-28 17:21:24",19.99,4.99
"2025-05-01 11:44:54",19.99,4.99
"2025-05-01 11:44:54",,4.99
